profile,base_speed_kmh,bunch_intercept,bunched_share_intercept,split_share_intercept,tail_gap_per_km,tail_group_size,noise_sigma,incident_loss_multiplier,severe_dnf_chance,breakaway_shrink_exponent,time_trial_slope,time_trial_noise,mass_crash_involvement,rank_noise
Flat,44.01,1.63,0.8813,0.0054,4.90,8.44,0.15,1.20,0.25,1.50,0.00000,0.0000,0.35,1.41
Rolling,42.49,2.38,0.7527,0.2947,5.35,4.18,0.18,1.40,0.25,1.50,0.00000,0.0000,0.35,1.41
Hilly,42.83,-0.50,0.7860,0.0700,6.12,4.15,0.20,1.70,0.28,1.50,0.00000,0.0000,0.35,1.29
Hilly_Difficult,41.41,-5.00,0.6951,0.0100,9.93,3.96,0.22,2.00,0.30,1.50,0.00000,0.0000,0.35,1.02
Cobble,46.08,-5.00,0.6951,0.0100,9.93,3.96,0.22,2.40,0.35,1.50,0.00000,0.0000,0.35,0.38
Cobble_Hill,46.85,-5.00,0.6951,0.0100,9.93,3.96,0.22,2.40,0.35,1.50,0.00000,0.0000,0.35,0.84
Medium_Mountain,39.83,-2.00,0.5717,0.0100,6.76,4.38,0.22,2.20,0.30,1.60,0.00000,0.0000,0.35,0.79
Mountain,36.91,-1.00,0.7000,0.0060,23.25,1.85,0.24,2.60,0.30,1.70,0.00000,0.0000,0.35,0.51
High_Mountain,35.85,-1.00,0.7000,0.0320,36.82,2.25,0.26,3.00,0.32,1.80,0.00000,0.0000,0.35,0.26
ITT,45.94,0.00,0.7000,0.0000,10.70,2.45,0.10,1.00,0.20,1.00,0.00440,0.0150,0.00,0.35
TTT,55.45,0.00,0.7000,0.0000,23.22,6.43,0.08,1.00,0.20,1.00,0.00820,0.0046,0.00,0.35
