Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
15278;Joshua;Tarling;2004;24;78.45;80.28;Kapitaen;2028;2028
6770;Remco;Evenepoel;2000;28;77.83;78.22;Kapitaen;2026;2029
6252;Brandon;McNulty;1998;30;74.77;74.92;Kapitaen;2028;2029
5955;Enric;Mas;1995;33;74.11;74.92;Co-Kapitaen;2028;2030
9236;Adrià;Pericas;2006;22;73.99;76.71;Edelhelfer;2026;2030
2346;Toms;Skujins;1991;37;73.39;74.61;Co-Kapitaen;2028;2028
3365;Julian;Alaphilippe;1992;36;73.11;74.72;Co-Kapitaen;2026;2028
3140;Felix;Großschartner;1994;34;73.02;73.83;Edelhelfer;2026;2029
11812;Elias;Wändel;2008;20;72.98;75.73;Wassertraeger;2028;2028
15279;Vlad;Van Mechelen;2004;24;72.96;75.93;Starke Helfer;2028;2028
17147;Simon;Schwartz;2007;21;72.84;75.87;Wassertraeger;2028;2028
6609;Stefan;Bissegger;1999;29;72.80;72.96;Edelhelfer;2028;2029
7602;Milan;Fretin;2001;27;72.76;76.52;Sprinter;2026;2029
4969;Mathys;Rondel;2004;24;72.71;75.82;Edelhelfer;2028;2028
4931;Victor;Hannes;2004;24;72.55;75.66;Wassertraeger;2028;2029
7308;Tim;van Dijke;2000;28;72.46;75.18;Sprinter;2026;2028
9438;Adam;Rafferty;2006;22;72.33;75.07;Wassertraeger;2028;2029
15510;Thibaud;Gruel;2004;24;72.32;75.42;Starke Helfer;2027;2029
15262;Pierre;Gautherat;2003;25;72.29;75.11;Wassertraeger;2028;2029
8099;Killian;Verschuren;2003;25;72.13;75.74;Wassertraeger;2028;2029
3699;Mike;Teunissen;1993;35;72.08;72.82;Sprinter;2026;2028
14247;Lorenzo;Milesi;2002;26;71.92;75.08;Starke Helfer;2026;2028
6920;Felix;Engelhardt;2001;27;71.87;75.99;Starke Helfer;2028;2030
14925;Iker;Mintegi;2003;25;71.80;74.89;Wassertraeger;2028;2028
5804;Markus;Hoelgaard;1995;33;71.74;72.63;Starke Helfer;2027;2029
4268;Bart;Lemmen;1996;32;71.70;72.35;Starke Helfer;2026;2028
15233;Rainer;Kepplinger;1998;30;71.67;71.84;Starke Helfer;2027;2029
4310;Marcel;Camprubí;2002;26;71.24;75.56;Wassertraeger;2028;2029
3942;Lorenzo;Rota;1995;33;71.00;72.14;Wassertraeger;2026;2028
7442;Jon;Barrenetxea;2000;28;70.99;74.22;Wassertraeger;2028;2029
15410;Lorenzo;Masciarelli;2004;24;70.95;74.59;Wassertraeger;2028;2029
15121;Zeb;Kyffin;1998;30;68.27;68.27;Wassertraeger;2026;2028
