Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
6777;Tadej;Pogacar;1999;28;81.49;81.49;Kapitaen;2026;2028
5943;Filippo;Ganna;1997;30;76.83;77.19;Kapitaen;2026;2027
7399;Juan;Ayuso;2003;24;75.81;78.35;Kapitaen;2026;2027
3763;Daniel Felipe;Martínez;1996;31;74.97;75.27;Co-Kapitaen;2027;2027
4967;Isaac;del Toro;2004;23;74.73;77.52;Co-Kapitaen;2027;2028
14395;Romain;Grégoire;2003;24;74.49;78.38;Co-Kapitaen;2027;2028
6390;Mikkel;Bjerg;1999;28;73.54;73.54;Edelhelfer;2027;2027
14573;Ben;Turner;1999;28;73.26;73.26;Edelhelfer;2027;2027
7129;Corbin;Strong;2000;27;72.85;72.85;Starke Helfer;2026;2027
3931;Davide;Ballerini;1995;32;72.79;72.94;Edelhelfer;2026;2028
5789;Eddie;Dunbar;1997;30;72.51;72.92;Edelhelfer;2026;2027
5939;Pascal;Ackermann;1994;33;72.34;72.83;Sprinter;2027;2028
4275;Jordan;Jegat;1999;28;72.27;72.27;Starke Helfer;2026;2028
7161;Carlos;Canal;2001;26;72.18;72.18;Starke Helfer;2027;2029
3291;Alex;Kirsch;1992;35;72.03;72.46;Starke Helfer;2026;2027
2542;Rudy;Molard;1990;37;71.69;72.44;Starke Helfer;2026;2027
12774;Luke;Lamperti;2003;24;71.62;75.11;Starke Helfer;2027;2029
2853;Carlos;Verona;1993;34;71.61;72.08;Starke Helfer;2027;2028
15387;Stian;Fredheim;2003;24;71.54;76.46;Sprinter;2026;2027
6249;Ivo;Oliveira;1997;30;70.91;71.07;Wassertraeger;2026;2028
5744;Max;Kanter;1998;29;70.71;71.04;Sprinter;2026;2028
11329;Thomas;Pesenti;2000;27;70.31;74.73;Wassertraeger;2026;2028
1975;Nélson;Oliveira;1989;38;70.05;70.89;Wassertraeger;2026;2028
16408;Clément;Izquierdo;2002;25;69.65;72.84;Wassertraeger;2026;2027
2515;Mikel;Bizkarra;1990;37;69.53;70.27;Wassertraeger;2026;2027
7537;Javier;Serrano;2001;26;69.49;69.49;Wassertraeger;2026;2027
3153;Jimmy;Janssens;1989;38;69.42;70.22;Wassertraeger;2026;2027
7131;Harrison;Wood;2000;27;69.25;69.25;Wassertraeger;2026;2027
7446;Davide;Bais;1998;29;69.08;69.25;Wassertraeger;2026;2027
5306;Frederik;Frison;1993;34;68.85;69.44;Wassertraeger;2026;2027
6899;Tim;Marsman;2001;26;68.56;72.13;Wassertraeger;2026;2027
5630;Jorge;Arcas;1992;35;68.50;69.21;Wassertraeger;2026;2028
