Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
6777;Tadej;Pogacar;1999;29;81.33;81.49;Kapitaen;2026;2028
7091;Carlos;Rodríguez;2001;27;74.79;74.79;Kapitaen;2028;2028
4967;Isaac;del Toro;2004;24;74.73;77.52;Co-Kapitaen;2027;2028
3763;Daniel Felipe;Martínez;1996;32;74.59;75.27;Kapitaen;2027;2029
14395;Romain;Grégoire;2003;25;74.49;78.38;Co-Kapitaen;2027;2028
4;Valentin;Madouas;1997;31;73.87;73.87;Co-Kapitaen;2028;2030
9590;Guus;van den Eijnden;2006;22;73.56;76.33;Starke Helfer;2028;2030
7051;Andrea;Bagioli;1999;29;73.17;73.57;Edelhelfer;2028;2030
15416;Noa;Isidore;2005;23;73.00;77.05;Starke Helfer;2028;2030
15843;Toby;Evans;2005;23;72.96;76.14;Wassertraeger;2028;2028
12275;Arthur;Tirry;2006;22;72.82;75.41;Wassertraeger;2028;2028
5242;Sebastián;Michalec;2006;22;72.64;75.78;Wassertraeger;2028;2028
3931;Davide;Ballerini;1995;33;72.58;72.94;Edelhelfer;2026;2028
4275;Jordan;Jegat;1999;29;72.27;72.27;Edelhelfer;2026;2028
7161;Carlos;Canal;2001;27;72.18;72.18;Starke Helfer;2027;2029
7066;Mauri;Vansevenant;1999;29;72.16;72.16;Starke Helfer;2028;2030
5677;Simone;Velasco;1996;32;72.15;72.95;Edelhelfer;2028;2029
12774;Luke;Lamperti;2003;25;71.86;75.11;Sprinter;2027;2029
17115;Eike;Behrens;2006;22;71.86;75.13;Wassertraeger;2028;2030
5939;Pascal;Ackermann;1994;34;71.80;72.83;Sprinter;2027;2028
6971;Juan Pedro;López;1998;30;71.51;71.92;Starke Helfer;2028;2029
7604;Luca;Van Boven;2000;28;71.38;76.12;Starke Helfer;2028;2030
4936;Ibai;Azanza;2004;24;71.14;75.16;Wassertraeger;2028;2030
2853;Carlos;Verona;1993;35;71.11;72.08;Starke Helfer;2027;2028
7040;Laurenz;Rex;2000;28;71.03;71.53;Wassertraeger;2028;2028
4157;Florian Samuel;Kajamini;2003;25;71.03;73.86;Wassertraeger;2028;2028
6249;Ivo;Oliveira;1997;31;70.69;71.07;Wassertraeger;2026;2028
5744;Max;Kanter;1998;30;70.32;71.04;Sprinter;2026;2028
11329;Thomas;Pesenti;2000;28;70.31;74.73;Wassertraeger;2026;2028
8352;Joshua;Giddings;2004;24;70.06;75.98;Wassertraeger;2028;2030
1975;Nélson;Oliveira;1989;39;69.38;70.89;Wassertraeger;2026;2028
5630;Jorge;Arcas;1992;36;67.80;69.21;Wassertraeger;2026;2028
